"","Player","X2022.Salary","X2022.Signing","G","GS","MIN","PTS","FGM","FGA","FG.","X2PM","X2PA","X2P.","X3PM","X3PA","X3P.","FTM","FTA","FT.","ORB","DRB","TRB","AST","TOV","STL","BLK","PF","Is_NBA"
"84","Emma Cannon",50713,"UFA",24,2,14,6.8,2.5,4.8,"52.60%",2.1,4,"53.10%",0.4,0.8,"50.00%",1.5,2,"72.90%",0.9,2.2,3.1,0.5,0.7,0.6,0.1,2,0
"85","Emma Cannon",2143,"Hardship",24,2,14,6.8,2.5,4.8,"52.60%",2.1,4,"53.10%",0.4,0.8,"50.00%",1.5,2,"72.90%",0.9,2.2,3.1,0.5,0.7,0.6,0.1,2,0
"86","DiJonai Carrington",62774,"Rookie",36,2,17.5,6.8,2.3,5.6,"41.40%",1.8,3.9,"46.10%",0.5,1.7,"30.60%",1.6,2.1,"75.00%",1.1,2.1,3.1,1.1,1.6,0.8,0.1,1.9,0
"87","Riquna Williams",145000,"UFA",21,0,18,6.7,2.1,5.6,"38.10%",0.5,1.2,"44.00%",1.6,4.4,"36.60%",0.8,1,"76.20%",0.2,1.8,2,1.2,0.3,0.4,0.1,1.7,0
"88","Lindsay Allen",8571,"UFA",9,0,14.8,6.7,2.2,4.2,"52.60%",1.3,2.7,"50.00%",0.9,1.6,"57.10%",1.3,1.4,"92.30%",0,1.6,1.6,3.4,0.8,0.2,0,1.2,0
"89","Lindsay Allen",1607,"UFA",9,0,14.8,6.7,2.2,4.2,"52.60%",1.3,2.7,"50.00%",0.9,1.6,"57.10%",1.3,1.4,"92.30%",0,1.6,1.6,3.4,0.8,0.2,0,1.2,0
"90","Lindsay Allen",2678,"UFA",9,0,14.8,6.7,2.2,4.2,"52.60%",1.3,2.7,"50.00%",0.9,1.6,"57.10%",1.3,1.4,"92.30%",0,1.6,1.6,3.4,0.8,0.2,0,1.2,0
"91","Jasmine Thomas",190000,"UFA",5,5,21.8,6.6,1.6,6,"26.70%",0.6,3.4,"17.60%",1,2.6,"38.50%",2.4,2.6,"92.30%",0.4,1.8,2.2,3,1.4,0.6,0.2,1.4,0
"92","Kristy Wallace",63389,"Rookie",29,18,20.8,6.6,2.3,5.6,"40.70%",1.4,3.2,"43.60%",0.9,2.3,"36.80%",1.1,1.4,"78.60%",0.6,1.7,2.3,2.2,1.5,0.6,0.2,2,0
"93","Tiffany Mitchell",148400,NA,34,8,16.3,6.5,2.4,5.4,"45.10%",2.1,4.4,"46.40%",0.4,0.9,"38.70%",1.3,1.5,"86.50%",0.6,0.6,1.2,1.2,0.9,0.8,0.1,1.4,0
"94","Sami Whitcomb",150350,"RFA",35,6,21.3,6.5,2.1,5.7,"36.80%",0.4,0.9,"45.50%",1.7,4.8,"35.10%",0.6,0.7,"87.00%",0.3,2.1,2.3,2.3,1.4,0.7,0.1,1.6,0
"95","Monique Billings",140000,"RFA",23,8,17.4,6.5,2.4,5.1,"47.00%",2.4,5,"47.40%",0,0,"0.00%",1.7,2.2,"76.50%",2,4.4,6.3,1.1,1.3,0.8,0.3,2.3,0
"96","Nia Coffey",130000,"UFA",16,16,21,6.4,2.2,6.3,"34.70%",1.6,4.4,"37.10%",0.6,1.9,"29.00%",1.4,1.9,"74.20%",0.4,4.8,5.2,0.8,2.2,0.6,0.1,2.2,0
"97","Angel McCoughtry",69000,"UFA",2,2,9.9,6,1.5,4,"37.50%",1.5,3.5,"42.90%",0,0.5,"0.00%",3,3,"100.00%",0,3,3,1,1.5,0.5,1,1.5,0
"98","Katie Benzan",3592,"Hardship",3,0,8.9,6,1.7,3,"55.60%",0,0.7,"0.00%",1.7,2.3,"71.40%",1,1.3,"75.00%",0.3,0.3,0.7,0.3,0.7,0,0.3,2.3,0
